,Site,Season,Type,Transect,LS_Age,TrapCatch.m,TrapCatch.n,TrapCatch.se,AdultLength.m,AdultLength.n,AdultLength.se
1,Cutts Cove,2020,Living Shoreline,Low Marsh,2,20.5,10,12,52.1,6,1.4
2,Cutts Cove,2020,No Action Control,Low Marsh,2,1,10,1,47.3,1,
3,Cutts Cove,2020,Reference,Low Marsh,2,17.1,10,14.8,53.7,6,2.1
4,Cutts Cove,2021,Living Shoreline,Low Marsh,3,13.2,20,5.9,57.3,12,1.2
5,Cutts Cove,2021,No Action Control,Low Marsh,3,13.9,14,5.9,53.8,7,1.4
6,Cutts Cove,2021,Reference,Low Marsh,3,24.8,19,6.9,53.7,17,1.3
7,North Mill Pond,2020,Living Shoreline,Low Marsh,4,10.3,10,3.8,54.5,8,1.3
8,North Mill Pond,2020,No Action Control,Low Marsh,4,0,10,0,,0,
9,North Mill Pond,2020,Reference,Low Marsh,4,31.1,10,16.7,56.1,9,2
10,Wagon Hill Farm,2020,Living Shoreline,High Marsh,1,29.1,10,19.5,58,5,2
12,Wagon Hill Farm,2020,No Action Control,High Marsh,1,1.6,10,0.6,54.9,5,3.4
13,Wagon Hill Farm,2020,Reference,High Marsh,1,2.3,10,1.1,59,5,1.6
17,Wagon Hill Farm,2022,Living Shoreline,High Marsh,3,24.4,10,8.9,50.9,8,2
19,Wagon Hill Farm,2022,No Action Control,High Marsh,3,0.9,8,0.4,46.6,3,0.8
20,Wagon Hill Farm,2022,Reference,High Marsh,3,5.2,10,3.9,53,9,2.3
