"","Site","Season","LS_Age","Type","algae.m","algae.se","invert.m","invert.se","barnacle.m","barnacle.se","NonFF.m","NonFF.se"
"1","Cutts Cove",2019,1,"Living Shoreline",46.5,6.2,116.2,24,71,23,45.2,8.3
"2","Cutts Cove",2020,2,"Living Shoreline",60.3,5.7,181.2,29.4,165,31.1,16.2,3.7
"3","Cutts Cove",2021,3,"Living Shoreline",78.5,4.9,105.8,19.9,47.2,11,57.4,22.2
"4","Cutts Cove",2022,4,"Living Shoreline",77,3.2,130.6,14.9,57,12.8,72.6,5.6
"5","North Mill Pond",2019,3,"Living Shoreline",0,0,0,0,0,0,0,0
"6","North Mill Pond",2020,4,"Living Shoreline",0,0,0.4,0.3,0,0,0.4,0.3
"7","Wagon Hill Farm",2019,0,"Living Shoreline",3,1.6,0,0,0,0,0,0
"8","Wagon Hill Farm",2020,1,"Living Shoreline",8.4,2.5,0.6,0.6,0.4,0.4,0.2,0.2
"9","Wagon Hill Farm",2021,2,"Living Shoreline",45,5.2,25,5.3,6,2.3,18.4,4.5
"10","Wagon Hill Farm",2022,3,"Living Shoreline",59.5,5.5,NA,NA,NA,NA,NA,NA
