,Site,Season,Type,Transect,LS_Age,Halophyte.m,Halophyte.se,Richness.m,Richness.se
1,Cutts Cove,2019,Living Shoreline,High Marsh,1,32.5,4.2,4.8,0.6
2,Cutts Cove,2019,Living Shoreline,Low Marsh,1,36.7,8.1,2.4,0.2
3,Cutts Cove,2019,No Action Control,Low Marsh,1,0,0,0,0
4,Cutts Cove,2019,Reference,High Marsh,1,75.1,4.2,3.1,0.3
5,Cutts Cove,2019,Reference,Low Marsh,1,62.6,4.7,1.3,0.2
6,Cutts Cove,2020,Living Shoreline,High Marsh,2,13.1,1.7,2.6,0.3
7,Cutts Cove,2020,Living Shoreline,Low Marsh,2,32.9,3.8,2.5,0.3
8,Cutts Cove,2020,No Action Control,Low Marsh,2,0,0,0,0
9,Cutts Cove,2020,Reference,High Marsh,2,60.8,9,2.8,0.2
10,Cutts Cove,2020,Reference,Low Marsh,2,55.9,4.4,1.4,0.2
11,Cutts Cove,2021,Living Shoreline,High Marsh,3,25.9,4.6,3.9,0.6
12,Cutts Cove,2021,Living Shoreline,Low Marsh,3,24.8,7.3,1.9,0.3
13,Cutts Cove,2021,Reference,High Marsh,3,83.9,3,3.1,0.3
14,Cutts Cove,2021,Reference,Low Marsh,3,61.3,3.4,1.3,0.2
15,North Mill Pond,2019,Living Shoreline,High Marsh,3,63.1,11.5,4.3,0.8
16,North Mill Pond,2019,Living Shoreline,Low Marsh,3,38.9,14,0.7,0.2
17,North Mill Pond,2019,No Action Control,Low Marsh,3,0,0,0,0
18,North Mill Pond,2019,Reference,High Marsh,3,96.8,1.5,6.2,0.4
19,North Mill Pond,2019,Reference,Low Marsh,3,84.9,4.6,1,0
20,North Mill Pond,2020,Living Shoreline,High Marsh,4,49.1,10.7,3.3,0.7
21,North Mill Pond,2020,Living Shoreline,Low Marsh,4,28.5,8.4,0.7,0.2
22,North Mill Pond,2020,No Action Control,Low Marsh,4,0,0,0,0
23,North Mill Pond,2020,Reference,High Marsh,4,54.9,8.8,4.6,0.6
24,North Mill Pond,2020,Reference,Low Marsh,4,51,4.3,1,0
25,Wagon Hill Farm,2019,Living Shoreline,High Marsh,0,57.8,5.4,1.7,0.2
26,Wagon Hill Farm,2019,Living Shoreline,Low Marsh,0,25.1,3.7,1.1,0.1
27,Wagon Hill Farm,2019,No Action Control,High Marsh,0,64.4,13.5,2.3,0.4
28,Wagon Hill Farm,2019,Reference,High Marsh,0,94.4,2.6,3.5,0.4
29,Wagon Hill Farm,2019,Reference,Low Marsh,0,98.5,1.1,3.3,0.4
30,Wagon Hill Farm,2020,Living Shoreline,High Marsh,1,8.4,1.8,2.8,0.2
31,Wagon Hill Farm,2020,Living Shoreline,Low Marsh,1,38.2,4.4,1.4,0.2
32,Wagon Hill Farm,2020,No Action Control,High Marsh,1,22,10.7,1.8,0.3
33,Wagon Hill Farm,2020,Reference,High Marsh,1,77,4,3.5,0.5
34,Wagon Hill Farm,2020,Reference,Low Marsh,1,63,3.3,3.5,0.2
40,Wagon Hill Farm,2022,Living Shoreline,High Marsh,3,69.8,5.8,4.4,0.5
41,Wagon Hill Farm,2022,Living Shoreline,Low Marsh,3,73.5,2.7,1,0
42,Wagon Hill Farm,2022,No Action Control,High Marsh,3,50.5,11.5,2.1,0.5
43,Wagon Hill Farm,2022,Reference,High Marsh,3,83.4,4,3,0.5
44,Wagon Hill Farm,2022,Reference,Low Marsh,3,84.7,1.3,3.4,0.3
